year,donor,type_donor,amount_nominal,issue_area
2009,France,public,403655000,Health
2005,NA,private,4333,Humanitarian Law and Action
2020,Netherlands,public,481500,Health
2019,Global Disability Innovation Hub,private,215000,Health
2006,Japan,public,13140961.83,Humanitarian Law and Action
2020,Luxembourg,public,8667211,Humanitarian Law and Action
2002,Gambia,public,13675.67321,"Labour, Economic Affairs, Science"
2020,France,public,3316011,Humanitarian Law and Action
2010,Italy,public,2042996.205,Humanitarian Law and Action
2007,Japan,public,89703788,Humanitarian Law and Action
2021,Italy,public,2000000,Health
2012,Ireland,public,1756116,Humanitarian Law and Action
2009,Malaysia,public,20000,Humanitarian Law and Action
2006,Sierra Leone,public,1856.738213,Peace
2016,Tajikistan,public,10111.6675,Peace
2021,Rotary Foundation,private,58000,Health
2008,China,public,526272.055,Humanitarian Law and Action
2016,Botswana,public,8560.027766,Humanitarian Law and Action
2005,Eritrea,public,4290,Health
2008,Mexico,public,100000,Humanitarian Law and Action
2016,Gambia,public,7500,Health
2021,Persian American Society for Health Advancement (PASHA),private,5000,Health
2001,Colombia,public,151920.9061,Humanitarian Law and Action
2016,Poland,public,4185687,Health
2006,Zimbabwe,public,40174.88633,"Labour, Economic Affairs, Science"
2007,Haiti,public,10645.91966,Humanitarian Law and Action
2016,Luxembourg,public,10184708.86,Humanitarian Law and Action
2018,Hearing Conservation Council (HCC),private,137000,Health
2020,Islamic Development Bank,public,24500,Health
2019,Cochlear Limited,private,56500,Health
2016,Azerbaijan,public,151445.739,Peace
2018,Norway,public,2099878.145,Peace
2015,Monaco,public,47360.66069,"Labour, Economic Affairs, Science"
2004,Equatorial Guinea,public,1355.854784,"Labour, Economic Affairs, Science"
2006,South Africa,public,645568.8631,"Labour, Economic Affairs, Science"
2013,Australia,public,2640683.393,"Labour, Economic Affairs, Science"
2013,NA,private,15087862.39,"Labour, Economic Affairs, Science"
2004,New Zealand,public,983170,Health
2011,Israel,public,1531766.516,"Labour, Economic Affairs, Science"
2017,Tonga,public,2569.065932,Peace
2020,Saint Petersburg Scientific Research Institute of Vaccines and Sera,private,36865.5,Health
2020,Morocco,public,157000.6355,Peace
2003,Greece,public,1588213,Humanitarian Law and Action
2019,Timor-Leste,public,113500,Humanitarian Law and Action
2017,NA,private,1879000,Humanitarian Law and Action
2001,United States,public,26831868.83,Peace
2020,Canada,public,11515666.82,"Labour, Economic Affairs, Science"
2020,"23Technology Limited, United Kingdom",NA,1.5,Health
2015,Botswana,public,8450.91497,Humanitarian Law and Action
2020,Latham & Watkins LLP,private,170205.401,Humanitarian Law and Action
2017,JP Morgan,private,43230,"Labour, Economic Affairs, Science"
2012,UN,public,596792,Humanitarian Law and Action
2005,Nigeria,public,90825.98047,Peace
2006,Estonia,public,23226.19339,Humanitarian Law and Action
2008,Peru,public,208600.3933,"Labour, Economic Affairs, Science"
2020,Philippines,public,200000,Humanitarian Law and Action
2004,Bulgaria,public,11775.67117,Humanitarian Law and Action
2020,Mozambique,public,70795.9889,"Labour, Economic Affairs, Science"
2012,Eritrea,public,3859.509174,"Labour, Economic Affairs, Science"
2009,Chad,public,25874.38037,"Labour, Economic Affairs, Science"
2006,Thailand,public,619150.8825,"Labour, Economic Affairs, Science"
2019,Romania,public,561755.0477,Peace
2003,Singapore,public,2253348.492,"Labour, Economic Affairs, Science"
2011,Asfari Foundation,private,199456,Humanitarian Law and Action
2001,Madagascar,public,75.25413083,Humanitarian Law and Action
2020,Bahamas,public,10739.22004,Humanitarian Law and Action
2015,Japan Tobacco International SA,private,526967,"Labour, Economic Affairs, Science"
2019,Georgia,public,30614.57573,"Labour, Economic Affairs, Science"
2007,Mauritania,public,2176.820471,Peace
2007,Algeria,public,25245.63342,Humanitarian Law and Action
2001,Chile,public,505516,Health
2015,Portugal,public,1874555.919,"Labour, Economic Affairs, Science"
2021,Expanded Special Project for Elimination of Neglected Tropical Diseases (ESPEN),private,92500,Health
2020,Rotary Foundation,private,20400000,Health
2013,Venezuela,public,1647996.057,Peace
2019,Denmark,public,3367000,Health
2010,Estonia,public,8120,Humanitarian Law and Action
2014,France,public,907841,Humanitarian Law and Action
2014,Argentina,public,99501.06478,"Labour, Economic Affairs, Science"
2016,Carter Center,private,1200000,Health
2016,North Macedonia,public,27000,Health
2020,Banque Lombard Odier & Cie SA,private,53254.09125,Humanitarian Law and Action
2008,Slovenia,public,183431.0571,Peace
2018,El Salvador,public,72700,Humanitarian Law and Action
2019,Standard Bank,private,666000,Health
2007,Cyprus,public,129069,Humanitarian Law and Action
2016,TDR Pooled Proxy Donor,private,3000000,Health
2007,Honduras,public,55637.19732,"Labour, Economic Affairs, Science"
2017,CDC Foundation,private,458500,Health
2017,UN,public,2550000,Health
2018,Dominica,public,2913.436475,"Labour, Economic Affairs, Science"
2004,Trinidad and Tobago,public,38392.57411,Peace
2019,Vanuatu,public,29508.69161,"Labour, Economic Affairs, Science"
2016,Seychelles,public,2891.229295,"Labour, Economic Affairs, Science"
2003,Indonesia,public,125238.0906,Humanitarian Law and Action
2000,Israel,public,1376350,Health
2018,Ireland,public,11809540.46,Health
2021,Japan,public,52500,Health
2020,United Arab Emirates,public,102620.6338,Humanitarian Law and Action
2004,Austria,public,2659415.068,"Labour, Economic Affairs, Science"
2007,Norway,public,2104206.55,"Labour, Economic Affairs, Science"
2016,NA,private,101,Humanitarian Law and Action
2007,Italy,public,1508225,Humanitarian Law and Action
2016,Czech Republic,public,331705,Humanitarian Law and Action
2010,Central African Republic,public,1365.415483,"Labour, Economic Affairs, Science"
2015,El Salvador,public,47821.92324,Peace
2016,Saint Vincent and the Grenadines,public,2891.229295,"Labour, Economic Affairs, Science"
2011,National ICRC Societies,private,61086806.71,Humanitarian Law and Action
2015,Fiji,public,2960.366009,"Labour, Economic Affairs, Science"
2019,Switzerland,public,3265555.931,Peace
2020,Togo,public,8420.536908,"Labour, Economic Affairs, Science"
2018,Jordan,public,49467.15381,Peace
2005,El Salvador,public,62691.48884,"Labour, Economic Affairs, Science"
2016,Sasakawa Health Foundation,private,149000,Health
2008,Belarus,public,9133.128364,Humanitarian Law and Action
2021,Senegal,public,52000,Health
2001,Tunisia,public,1881,Humanitarian Law and Action
2000,Belgium,public,857688,Humanitarian Law and Action
2018,Canada,public,65392862,Humanitarian Law and Action
2011,Slovakia,public,334132.9574,Peace
2006,Bangladesh,public,29624.92114,"Labour, Economic Affairs, Science"
2016,Gilead Sciences Inc.,private,19500,Health
2018,ITU,public,14000,Health
2005,Hong Kong,public,4197176.787,"Labour, Economic Affairs, Science"
2012,Solomon Islands,public,2437.379857,Peace
2016,Eswatini (formerly known as Swaziland),public,5124.585268,Peace
2020,The Philips Foundation,private,139455.4237,Humanitarian Law and Action
2019,Trinidad and Tobago,public,162670,Health
2003,Mauritania,public,1327.136194,Peace
2015,NA,private,16960,Humanitarian Law and Action
2005,Cuba,public,142433,Health
2003,Kantonale St. Gallische Winkelriedstiftung,private,11138.74345,Humanitarian Law and Action
2019,Mexico,public,6897324,Health
2020,Kuwait,public,11700000,Health
2014,Armenia,public,29080.35902,"Labour, Economic Affairs, Science"
2020,UN,public,800000,Health
2000,NA,public,1590172,Humanitarian Law and Action
2019,NA,private,49872,Humanitarian Law and Action
2010,Honduras,public,1476988,Humanitarian Law and Action
2003,Djibouti,public,3000,Humanitarian Law and Action
2012,Moldova,public,39370.40623,"Labour, Economic Affairs, Science"
2008,United States,public,23169426.36,"Labour, Economic Affairs, Science"
2008,Luxembourg,public,162412.8977,Peace
2004,Soroptimist International,private,11283.51036,Humanitarian Law and Action
2002,Belgium,public,1242096.664,Peace
2014,Venezuela,public,12437.90598,"Labour, Economic Affairs, Science"
2014,Latvia,public,195252.7476,"Labour, Economic Affairs, Science"
2011,Procter and Gamble,private,45866,Humanitarian Law and Action
2010,Belgium,public,4111982.288,"Labour, Economic Affairs, Science"
2012,Albania,public,4536.709595,Humanitarian Law and Action
2008,Netherlands,public,5525446.639,"Labour, Economic Affairs, Science"
2020,Ethiopia,public,5831.322991,Humanitarian Law and Action
2020,International Society of Audiology (AUDI),private,55500,Health
2009,Chile,public,291570.4017,Humanitarian Law and Action
2012,Grenada,public,2437.379857,Peace
2012,Jamaica,public,16725,Humanitarian Law and Action
2013,Indonesia,public,49173.37718,"Labour, Economic Affairs, Science"
2015,Saint Kitts and Nevis,public,30471.29983,"Labour, Economic Affairs, Science"
2019,Panama,public,127671.5185,Peace
2010,Luxembourg,public,3169000,Health
2008,Nicaragua,public,9133.128364,Humanitarian Law and Action
2019,Spain,public,101019.5,Health
2017,Finland,public,446500,Health
2019,Fundacao Calouste Gulbenkian,private,5000,Health
2016,Kuwait,public,1100000,Health
2016,Vietnam,public,146550.3254,Peace
2021,Robert Wood Johnson Foundation,private,88500,Health
2016,Czech Republic,public,1428464.147,"Labour, Economic Affairs, Science"
2012,Bulgaria,public,396926,Humanitarian Law and Action
2012,Fast Retailing Co. Ltd. (UNIQLO),private,1779237,Humanitarian Law and Action
2016,Grenada,public,2539.426389,Peace
2013,Uruguay,public,103349.4299,"Labour, Economic Affairs, Science"
2021,Islamic Development Bank,public,24500,Health
2006,Ethiopia,public,11849.96846,"Labour, Economic Affairs, Science"
2005,Democratic People's Republic of Korea,public,21625.23923,Peace
2007,Mauritius,public,52629.78125,"Labour, Economic Affairs, Science"
2015,UN,public,1360388,Humanitarian Law and Action
2015,Gambia,public,1479.66346,"Labour, Economic Affairs, Science"
2001,Tunisia,public,32227.92343,Peace
2010,Gates Foundation,private,100000000,Health
2012,Seychelles,public,3038.337009,"Labour, Economic Affairs, Science"
2019,NA,private,125410344,Humanitarian Law and Action
2007,Peru,public,44349.5,Health
2001,Australia,public,6037555,Health
2010,Iceland,public,20000,Humanitarian Law and Action
2007,International Women<U+2019>s Tribune Centre,private,31997,Humanitarian Law and Action
2010,Haiti,public,27241.18952,"Labour, Economic Affairs, Science"
2008,Russian Federation,public,4376288.212,"Labour, Economic Affairs, Science"
2016,India,public,150000,Humanitarian Law and Action
2010,Poland,public,1867727.293,"Labour, Economic Affairs, Science"
2007,Norway,public,55254959,Humanitarian Law and Action
2017,Estate of Samuel Arden Weiss,private,9710.5,Health
2016,Program for Appropriate Technology In Health (PATH),private,41000,Health
2012,Dominica,public,2437.379857,Peace
2002,Rwanda,public,2464.380052,"Labour, Economic Affairs, Science"
2010,Cyprus,public,5462.620792,"Labour, Economic Affairs, Science"
2009,Croatia,public,127258.7329,Peace
2020,Saint Lucia,public,2854.520008,Peace
2008,Lithuania,public,112960.1418,"Labour, Economic Affairs, Science"
2001,Pakistan,public,9107.527487,Humanitarian Law and Action
2012,Portugal,public,39982,Humanitarian Law and Action
2018,Canada,public,1631460.001,Humanitarian Law and Action
2010,Estonia,public,6455.998911,Humanitarian Law and Action
2005,Italy,public,9279426,Humanitarian Law and Action
2009,Cuba,public,106947.4388,"Labour, Economic Affairs, Science"
2018,Takeda,private,837686.4426,Health
2017,Bulgaria,public,1363290,Humanitarian Law and Action
2004,Cisco Systems Foundation,private,10273.45484,Humanitarian Law and Action
2021,Fonto De Vivo Sas,private,1.5,Health
2016,Rotary Foundation,private,1014822.497,Humanitarian Law and Action
2013,Tanzania,public,1536.297179,"Labour, Economic Affairs, Science"
2019,GlaxoSmithKline (GSK),private,25000,Health
2018,Moldova,public,2229.305551,Humanitarian Law and Action
2010,Finland,public,10854586.13,Humanitarian Law and Action
2006,Saudi Arabia,public,1100000,Humanitarian Law and Action
2008,Denmark,public,6191603,Humanitarian Law and Action
2019,Egypt,public,527709.3027,Peace
2001,NA,private,16081274.46,"Labour, Economic Affairs, Science"
2012,Benin,public,1518.635276,"Labour, Economic Affairs, Science"
2001,Bhutan,public,11519.21499,Humanitarian Law and Action
2018,Vanuatu,public,4780,Health
2020,King Baudouin Foundation United States (KBFUS),private,201500,Health
2017,Netherlands,public,147000,Health
2016,Suriname,public,15144.58408,Peace
2011,China,public,10554107.8,"Labour, Economic Affairs, Science"
2004,Papua New Guinea,public,5235.356539,Peace
2004,Australia,public,6852560,Health
2002,Botswana,public,41447,Health
2014,Bulgaria,public,132111.0782,Peace
2010,Greece,public,131062,Humanitarian Law and Action
2014,Lithuania,public,12437.90598,"Labour, Economic Affairs, Science"
2020,Lebanon,public,134164.1702,Peace
2009,United Kingdom,public,24101099.86,"Labour, Economic Affairs, Science"
2009,STATOIL,private,65000,Humanitarian Law and Action
2003,Papua New Guinea,public,35404.86733,"Labour, Economic Affairs, Science"
2017,China,public,106500,Health
2004,Estonia,public,23419.45611,Humanitarian Law and Action
2008,Paraguay,public,9553.718302,Peace
2016,Georgia,public,11563.90236,"Labour, Economic Affairs, Science"
2010,Trinidad and Tobago,public,93215.07424,Peace
2017,Mauritania,public,5138.131863,Peace
2012,Netherlands,public,14206500,Health
2000,Saint Vincent and the Grenadines,public,1057.317285,Peace
2012,Tunisia,public,6075.607561,"Labour, Economic Affairs, Science"
2005,Poland,public,162098,Humanitarian Law and Action
2018,Sweden,public,4616415,Health
2003,Malta,public,57465.5,Health
2010,Luxembourg,public,34722,Humanitarian Law and Action
2000,Grenada,public,2993.5,Health
2018,Cameroon,public,73971.01698,"Labour, Economic Affairs, Science"
2018,European Union,public,196628848.6,Health
2020,Belize,public,3034.418119,"Labour, Economic Affairs, Science"
2017,ITU,public,3000,Health
2010,NA,private,849,Humanitarian Law and Action
2017,African Reinsurance Corporation,private,103513,"Labour, Economic Affairs, Science"
2016,UPL Limited,private,20000,Health
2000,Malaysia,public,200000,Humanitarian Law and Action
2013,Estonia,public,105135.3296,Peace
2014,United States,public,8632626,Humanitarian Law and Action
2019,UN,public,416000,Health
2006,Indonesia,public,420666.7023,"Labour, Economic Affairs, Science"
2012,Equatorial Guinea,public,1518.635276,"Labour, Economic Affairs, Science"
2012,Russian Federation,public,6186458.338,"Labour, Economic Affairs, Science"
2007,Fondation des immeubles pour les organisations internationales (FIPOI),private,221062.5759,Humanitarian Law and Action
2019,OHCHR,public,131500,Health
2015,Iraq,public,268923.6384,"Labour, Economic Affairs, Science"
2007,Japan,public,8688425.03,"Labour, Economic Affairs, Science"
2006,Algeria,public,60000,Humanitarian Law and Action
2017,Sharda Cropchem Limited,public,12500,Health
2019,Netherlands,public,12500000,Health
2009,Finland,public,26880561,Humanitarian Law and Action
2017,L'Union Economique et Monataire Ouest-Africaine (UEMOA),private,5000,Health
2003,North Macedonia,public,7962.325702,Peace
2000,Mongolia,public,2114.634571,Peace
2011,OPEC,public,989234,Humanitarian Law and Action
2021,Edmond J. Safra Foundation,private,62500,Health
2000,Italy,public,3547228.487,"Labour, Economic Affairs, Science"
2018,Israel,public,100000,Humanitarian Law and Action
2013,Cameroon,public,42946.19508,"Labour, Economic Affairs, Science"
2015,Kazakhstan,public,202873,Humanitarian Law and Action
2007,China,public,6359034.661,"Labour, Economic Affairs, Science"
2004,NA,private,66566,Humanitarian Law and Action
2011,Slovakia,public,39412.55031,Humanitarian Law and Action
2017,Ireland,public,14462495.89,Humanitarian Law and Action
2017,NA,private,6273,Humanitarian Law and Action
2010,NA,private,92063296.35,Health
2020,Cote d'Ivoire,public,116605.1582,"Labour, Economic Affairs, Science"
2015,Austria,public,3122764.269,Humanitarian Law and Action
2006,Serbia,public,187,Health
2018,Denka Seiken Co. ltd.,private,363617.5,Health
2020,Guyana,public,1168.394762,Humanitarian Law and Action
2017,Belgium,public,2275313,Humanitarian Law and Action
2005,NA,private,207220,Humanitarian Law and Action
2013,Mozambique,public,2151,Humanitarian Law and Action
2013,Albania,public,4590.550909,Humanitarian Law and Action
2019,Niger,public,5674.341719,Peace
2013,Turkey,public,3490492.263,Peace
2020,Micronesia (Federated States of),public,189.5845648,Humanitarian Law and Action
2007,Democratic People's Republic of Korea,public,44660,Health
2016,Francoise Stiftung,private,168166.236,Humanitarian Law and Action
2018,Spain,public,2659237,Humanitarian Law and Action
2001,Iran,public,249490,Health
2001,Singapore,public,734150,Health
2019,United Kingdom,public,7493240.422,"Labour, Economic Affairs, Science"
2016,Marshall Islands,public,3844.14762,"Labour, Economic Affairs, Science"
2012,Panama,public,6062,Humanitarian Law and Action
2019,Kuwait,public,510000,Humanitarian Law and Action
2018,UN,public,66000,Health
2014,Bosnia and Herzegovina,public,3109.749375,"Labour, Economic Affairs, Science"
2016,Palau,public,4650,Health
2019,African Development Bank,public,11000,Health
2020,Netherlands,public,5713623.994,"Labour, Economic Affairs, Science"
2016,Brunei Darussalam,public,5781.443768,"Labour, Economic Affairs, Science"
2017,UN,public,4100000,Health
2018,United States,public,16000,Health
2006,Saint Vincent and the Grenadines,public,2599.5,Health
2018,Kyrgyzstan,public,11652.72328,"Labour, Economic Affairs, Science"
2019,Micronesia (Federated States of),public,2866.846117,"Labour, Economic Affairs, Science"
2013,Afghanistan,public,1000,Humanitarian Law and Action
2009,United Arab Emirates,public,49308.82183,Humanitarian Law and Action
2020,"Nordic Council of Ministers, Denmark",private,34000,Health
2014,Sweden,public,22184918,Humanitarian Law and Action
2013,Hungary,public,134020.3516,Humanitarian Law and Action
2006,Central African Republic,public,4017,Humanitarian Law and Action
2013,UN,public,2492998,Humanitarian Law and Action
2002,NA,private,7000,Humanitarian Law and Action
2006,Switzerland,public,382355.6857,Humanitarian Law and Action
2005,United States,public,85096027,Health
2016,Switzerland,public,153168.8991,Health
2016,Family Health International (FHI),private,67000,Health
2011,Trinidad and Tobago,public,192637.2852,"Labour, Economic Affairs, Science"
2018,Japanese Consumers' Cooperative Union,private,156712,"Labour, Economic Affairs, Science"
2007,NA,private,427,Humanitarian Law and Action
2019,UN,public,48829890,Humanitarian Law and Action
2000,Italy,public,5748570.152,Peace
2019,Kyrgyzstan,public,7653.643933,"Labour, Economic Affairs, Science"
2001,Equatorial Guinea,public,1039.626645,Peace
2010,Spain,public,6968965,Humanitarian Law and Action
2020,Kuwait,public,1234183,Health
2016,Cabo Verde,public,2539.426389,Peace
2020,Finland,public,211500,Health
2001,Botswana,public,30712.57366,"Labour, Economic Affairs, Science"
2003,Albania,public,3981.211997,Peace
2017,Norway,public,11350000,Health
2014,Turkmenistan,public,94090,Humanitarian Law and Action
2018,True Colours Trust (TCT),public,74500,Health
2010,South Africa,public,327778.3424,"Labour, Economic Affairs, Science"
2014,Estonia,public,12437.90598,"Labour, Economic Affairs, Science"
2021,UCB SA,private,177500,Health
2002,Sudan,public,57.10227145,"Labour, Economic Affairs, Science"
2018,Takeda,private,23528,Health
2005,Vanuatu,public,2162.511771,Peace
2016,United Nations,public,2618500,Health
2001,Georgia,public,5198.032711,Peace
2012,Democratic Republic of the Congo,public,7312.345859,Peace
2003,Eritrea,public,2852.260905,"Labour, Economic Affairs, Science"
2000,Germany,public,10421860.49,Peace
2019,UN,public,10219125,Humanitarian Law and Action
2014,New Zealand,public,2806415.1,Humanitarian Law and Action
2017,Luxembourg,public,1612000,Health
2003,Indonesia,public,19945,Humanitarian Law and Action
2019,Kiribati,public,4780,Health
2000,International Olympic Committee,private,20000,Humanitarian Law and Action
2005,Myanmar,public,43020.38987,"Labour, Economic Affairs, Science"
2003,Brunei Darussalam,public,88284,Health
2005,Costa Rica,public,22620.8804,"Labour, Economic Affairs, Science"
2018,Togo,public,878000,Health
2013,Moldova,public,40074.26875,"Labour, Economic Affairs, Science"
2019,Morocco,public,4.025055973,Humanitarian Law and Action
2000,"Macao, China",public,47226.41477,"Labour, Economic Affairs, Science"
2020,France,public,21681351,Health
2019,Vital Strategies,private,1000000,Health
2019,Belarus,public,139020.1002,Peace
2005,Comoros,public,2162.511771,Peace
2014,NA,private,19671,Humanitarian Law and Action
2017,Poland,public,102829,Humanitarian Law and Action
2012,NA,private,273255,Humanitarian Law and Action
2000,Mainichi Social Welfare Foundation (JPN),private,20183,Humanitarian Law and Action
2002,Pakistan,public,168666.6363,"Labour, Economic Affairs, Science"
2009,NA,private,2609,Humanitarian Law and Action
2020,UN,public,397405,Humanitarian Law and Action
2013,Moreau Family,private,436990.7497,Health
2005,European Union,public,69557000,Health
2005,India,public,13174.03068,Humanitarian Law and Action
2006,Brazil,public,1203861.249,"Labour, Economic Affairs, Science"
2001,South Korea,public,2007342.314,"Labour, Economic Affairs, Science"
2009,Panama,public,60349.66025,"Labour, Economic Affairs, Science"
2021,Switzerland,public,550000,Health
2008,Chad,public,3644.203159,"Labour, Economic Affairs, Science"
2006,Uruguay,public,107175,Health
2018,St.Jude Childrens Research Hospital,private,5000,Health
2015,Cyprus,public,113759.5194,"Labour, Economic Affairs, Science"
2012,NA,private,1636223.93,Humanitarian Law and Action
2009,Slovenia,public,36554.97169,Humanitarian Law and Action
2014,Liechtenstein,public,51214.2649,"Labour, Economic Affairs, Science"
2005,Malawi,public,20165.80775,"Labour, Economic Affairs, Science"
2009,India,public,2499721,Humanitarian Law and Action
2000,Israel,public,5000,Humanitarian Law and Action
2016,Netherlands,public,129500,Health
2016,Turkey,public,92509.18922,"Labour, Economic Affairs, Science"
2000,Saint Vincent and the Grenadines,public,4200,Health
2013,Peru,public,6146.267575,"Labour, Economic Affairs, Science"
2015,Gates Foundation,private,200000000,Health
2014,Business Development Center (BDC) of Jordan,private,79075,"Labour, Economic Affairs, Science"
2001,Austria,public,1186088.059,Humanitarian Law and Action
2013,Uzbekistan,public,39425.81308,Peace
2012,Japan Association for UNHCR,private,12347346,Humanitarian Law and Action
2002,Libya,public,5000,Humanitarian Law and Action
2001,NA,public,66758117.22,"Labour, Economic Affairs, Science"
2007,Medecins Sans Frontieres,private,7187887.16,Health
2011,Andorra,public,16471.41211,Peace
2014,Moldova,public,12437.90598,"Labour, Economic Affairs, Science"
2001,Zimbabwe,public,26775.06422,"Labour, Economic Affairs, Science"
2005,Iceland,public,73525.76478,Peace
2009,Lithuania,public,78900.41855,Peace
2017,United Kingdom,public,26500000,Health
2018,United Kingdom,public,8813612,Humanitarian Law and Action
2019,Kazakhstan,public,574435.8632,"Labour, Economic Affairs, Science"
2000,NA,private,162,Humanitarian Law and Action
2008,Brazil,public,200000,Humanitarian Law and Action
2019,Saudi Arabia,public,4389343.664,"Labour, Economic Affairs, Science"
2009,Sierra Leone,public,2545.157942,Peace
2007,Mauritius,public,23944.3724,Peace
2009,NA,private,35752575,Humanitarian Law and Action
2020,Gabon,public,3034.418119,"Labour, Economic Affairs, Science"
2015,Honduras,public,87351.05951,"Labour, Economic Affairs, Science"
2007,South Korea,public,8020180,Health
2020,Fondation Albert Ed Oechslin,private,106508.1825,Humanitarian Law and Action
2007,Tanzania,public,13060.59643,Peace
2012,Gabon,public,3038.337009,"Labour, Economic Affairs, Science"
2002,Turkey,public,48119.89167,Humanitarian Law and Action
2009,Saint Lucia,public,2545.157942,Peace
2021,Merck Ltd.,private,1200000,Health
2018,Senegal,public,19445.06654,"Labour, Economic Affairs, Science"
2006,Kiribati,public,4470,Health
2018,Better Work Business Partners,private,265878,"Labour, Economic Affairs, Science"
2006,France,public,287062000,Health
2018,Costa Rica,public,226939,Health
2008,Venezuela,public,499326.9257,"Labour, Economic Affairs, Science"
2002,India,public,20000,Humanitarian Law and Action
2007,Bulgaria,public,5000,Humanitarian Law and Action
2008,Chile,public,82207.38812,Humanitarian Law and Action
2017,Relevant Project LTD,private,4500,Health
2018,Ireland,public,16416278.84,Humanitarian Law and Action
2015,Bulgaria,public,339247.1381,"Labour, Economic Affairs, Science"
2015,Dominican Republic,public,5919.692928,"Labour, Economic Affairs, Science"
2019,Trinidad and Tobago,public,19234.73623,Humanitarian Law and Action
2016,Kuwait,public,500000,Humanitarian Law and Action
2012,Denmark,public,345312,Humanitarian Law and Action
2017,Greece,public,498000,Health
2012,Lesotho,public,31081.89966,"Labour, Economic Affairs, Science"
2019,Mali,public,1432.919927,"Labour, Economic Affairs, Science"
2008,United Kingdom,public,8884405.728,"Labour, Economic Affairs, Science"
2020,Hearing Conservation Council (HCC),private,1000,Health
2018,Switzerland,public,2045.23445,Humanitarian Law and Action
2004,UN,public,66542,Humanitarian Law and Action
2019,Israel,public,854246.6856,"Labour, Economic Affairs, Science"
2004,Nigeria,public,22374.01648,Humanitarian Law and Action
2018,South Korea,public,3750000,Health
2002,Morocco,public,775.0510552,"Labour, Economic Affairs, Science"
2020,Spain,public,11421966.27,Health
2015,Uruguay,public,115790.9393,"Labour, Economic Affairs, Science"
2003,Saint Kitts and Nevis,public,4135.5,Health
2006,Barbados,public,29624.92114,"Labour, Economic Affairs, Science"
2019,Norway,public,480396.468,Humanitarian Law and Action
2019,Vital Strategies,private,179000,Health
2020,Cyprus,public,6067.771157,"Labour, Economic Affairs, Science"
2016,Austria,public,10870,Humanitarian Law and Action
2009,Myanmar,public,12725.89418,Peace
2018,Barbados,public,2913.436475,"Labour, Economic Affairs, Science"
2000,Sudan,public,7401.120482,Peace
2020,Romania,public,47790,Humanitarian Law and Action
2002,Samoa,public,1091.432402,Peace
2019,Kuwait,public,11466.3782,"Labour, Economic Affairs, Science"
2017,Richter Gedeon Vegyeszeti Gyar,private,1200000,Health
2019,Nicaragua,public,55082.891,"Labour, Economic Affairs, Science"
2008,Switzerland,public,92328.43069,Humanitarian Law and Action
2000,USA for UNHCR,private,18018,Humanitarian Law and Action
2003,Dominica,public,17131.38742,"Labour, Economic Affairs, Science"
2003,Uganda,public,6635.2878,Peace
2020,Leonard Cheshire Disability,private,170959,"Labour, Economic Affairs, Science"
2003,Saint Lucia,public,2654.075803,Peace
2015,South Africa,public,15933,Humanitarian Law and Action
2020,Comic Relief,private,2261000,Health
2019,Canada,public,59732515,Humanitarian Law and Action
2006,Portugal,public,150252.4638,Humanitarian Law and Action
2004,Honduras,public,1025122,Humanitarian Law and Action
2001,Syria,public,84208.45157,Peace
2012,Fiji,public,31081.89966,"Labour, Economic Affairs, Science"
2019,Algeria,public,46500,Health
2020,Brunei Darussalam,public,119620,Health
2008,Gates Foundation,private,6182130.918,Health
2016,Argentina,public,151264.3673,Humanitarian Law and Action
2019,Kyrgyzstan,public,41312.16825,"Labour, Economic Affairs, Science"
2000,Haiti,public,2114.634571,Peace
2017,Pakistan,public,50462.47964,Humanitarian Law and Action
2014,Tanzania,public,1554.328926,"Labour, Economic Affairs, Science"
2007,Cyprus,public,120682.3585,"Labour, Economic Affairs, Science"
2009,Denmark,public,1880884.256,Peace
2010,Slovenia,public,121193,Humanitarian Law and Action
2005,Andorra,public,10812.68038,Peace
2010,Parthenon Trust,private,209408.1346,Humanitarian Law and Action
2019,Timor-Leste,public,14350,Health
2004,Nigeria,public,4982,Humanitarian Law and Action
2001,Denmark,public,1147407,Health
2015,Belgium,public,4170505.236,"Labour, Economic Affairs, Science"
2019,NA,private,176266,"Labour, Economic Affairs, Science"
2001,Ireland,public,2349079.618,Humanitarian Law and Action
2006,Mali,public,3713.476425,Peace
2012,Italy,public,12184798.15,Peace
2012,Eswatini (formerly known as Swaziland),public,11577.46106,"Labour, Economic Affairs, Science"
2008,Spain,public,1118774.063,Humanitarian Law and Action
2003,Ghana,public,6635.2878,Peace
2008,Uganda,public,24637.84173,"Labour, Economic Affairs, Science"
2015,Timor-Leste,public,5977.712869,Peace
2018,Serbia,public,153100,Health
2018,Eswatini (formerly known as Swaziland),public,49500,Health
2017,Alzheimer's Association,private,72000,Health
2004,Tonga,public,1745.078338,Peace
2019,Pakistan,public,37284.09348,Humanitarian Law and Action
2009,Estonia,public,40722.84048,Peace
2016,National University of Ireland Galway,private,49000,Health
2016,Bhutan,public,4650,Health
2018,Bahrain,public,171115.5629,"Labour, Economic Affairs, Science"
2006,Paraguay,public,22280.85855,Peace
2020,Lithuania,public,12136.60739,"Labour, Economic Affairs, Science"
2020,Seychelles,public,27000,Health
2020,ABB Asea Brown Boveri Ltd.,private,1654072.074,Humanitarian Law and Action
2016,Hungary,public,2812586,Humanitarian Law and Action
2020,Sightsavers,private,220000,Health
